2023-08-12 20:29:55,699 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:29:58,051 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:30:00,300 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:30:02,600 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:30:05,010 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:30:07,451 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:30:09,750 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:30:12,273 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:30:14,469 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_7', 'C_6'], 'force': None, 'active': True} cards: ['C_7', 'C_6'] type: <class 'list'>
2023-08-12 20:30:22,271 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': True} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:24,531 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': True} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:26,910 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': True} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:29,251 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': True} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:31,568 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': False} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:35,311 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': False} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:37,701 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': False} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:40,105 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': False} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:42,451 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': False} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:44,901 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': False} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:47,306 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': False} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:30:49,576 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['T_5', 'C_2'], 'force': None, 'active': False} cards: ['T_5', 'C_2'] type: <class 'list'>
2023-08-12 20:31:02,768 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_6', 'C_4'], 'force': None, 'active': True} cards: ['C_6', 'C_4'] type: <class 'list'>
2023-08-12 20:31:05,129 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_6', 'C_4'], 'force': None, 'active': True} cards: ['C_6', 'C_4'] type: <class 'list'>
2023-08-12 20:31:07,512 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_6', 'C_4'], 'force': None, 'active': True} cards: ['C_6', 'C_4'] type: <class 'list'>
2023-08-12 20:31:09,751 - LoggerFriends - INFO - Friend: {'name': 'pmass', 'hand': ['C_6', 'C_4'], 'force': None, 'active': True} cards: ['C_6', 'C_4'] type: <class 'list'>
